;university_name;Назва
3086;"Дошкільний навчальний заклад (ясла-садок) ""Берегиня"" Бориспільської міської ради Київської області";Берегиня
11069;"Дошкільний навчальний заклад (ясла-садок) ""Калинонька""";Калинонька
11735;"Гайворонський дошкільний навчальний заклад № 3 ""Калинка""";Калинка
11737;"Гайворонський дошкільний навчальний заклад № 5 ""Дзвіночок""";Дзвіночок
5068;"Полтавський дошкільний навчальний навчальний заклад (ясла-садок) №35 ""Берізка"" Полтавської міської ради Полтавської області";Берізка
2893;"Дошкільний навчальний заклад №14 ""Ромашка""";Ромашка
794;"Комунальний заклад дошкільної освіти (ясла-садок) №26 ""Росточок""музично-естетичного профілю";Росточок
13385;"Хмельницький дошкільний навчальний заклад №5 ""Соловейко""";Соловейко
1649;"Дочірнє приватне підприємство акціонерного товариства Сумбуд Навчально-виховний комплекс ""Просперітас""";Просперітас
1615;"Сумський дошкільний навчальний заклад (ясла-садок) № 7 ""Попелюшка"" м. Суми, Сумської області";Попелюшка
1701;"Комунальна організація (установа, заклад) Шосткинський дошкільний навчальний заклад (ясла-садок)№8 ""Оленка""Шосткинської міської ради Сумської області";Оленка
12701;"Одеський дошкільний навчальний заклад ""Ясла-садок"" № 160 Одеської міської ради Одеської області";Ясла-садок
3324;"Мазінський заклад дошкільної освіти "" Ягідка"""; Ягідка
3083;"Дошкільний навчальний заклад (ясла-садок) комбінованого типу ""Веселка"" Бориспільсьбкої міської ради Київської області";Веселка
3110;"Бородянський дошкільний навчальний заклад (ясла-садок комбінованого типу ) №14 ""Буратіно""";Буратіно
3153;"ДОШКІЛЬНИЙ НАВЧАЛЬНИЙ ЗАКЛАД (ЯСЛА-САДОК) КОМБІНОВАНОГО ТИПУ ""ЗОЛОТИЙ КЛЮЧИК""";ЗОЛОТИЙ КЛЮЧИК
11350;"Барський дошкільний навчальний заклад №3 ""Зірочка""";Зірочка
1122;"Комунальний заклад ""Навчально-виховний комплекс ""Основа"" Преображенської сільської ради Оріхівського району Запорізької області";Навчально-виховний комплекс 
4590;"Синюхинобрідський дошкільний навчальний заклад ""Малятко"" Синюхинобрідськоі сільської ради Первомайського району Миколаївськоі області";Малятко
4299;"Миролюбівський заклад дошкільної освіти ""Джерельце""";Джерельце
14050;"Ялтушкіський дошкільний заклад ""Світанок""";Світанок
14363;"Комунальний заклад ""Любомирський навчально-виховний комплекс І-ІІ ступенів ""загальноосвітній навчальний заклад - дошкільний навчальний заклад"" Чечельницької районної ради Вінницької області";Любомирський навчально-виховний комплекс І-ІІ ступенів 
8235;"Дошкільний навчальний заклад №6 (ясла-садок) комбінованого типу ""Світлячок"" - Центр розвитку дитини";Світлячок
786;"Комунальний дошкільний навчальний заклад (ясла-садок) №7 ""Барвінок""";Барвінок
10213;"Комунальний навчально-виховний комплекс ""Червоноіванівська загальноосвітня школа І ІІІ ступенів – дошкільний навчальний за-клад""";Червоноіванівська загальноосвітня школа І ІІІ ступенів – дошкільний навчальний за-клад
2523;"Заклад дошкільної освіти №4 ""Попелюшка"" Костянтинівської міської ради Донецької області";Попелюшка
2606;"Заклад Дошкільної Освіти № 16 "" Барвінок"" Покровської міської ради"; Барвінок
2941;"Макіївський навчально - виховний комплекс № 35 ""Світанок"" Дошкільний навчальний заклад № 192";Світанок
2955;"Комунальний дошкільний навчальний заклад № 4 ""Ялинка""";Ялинка
2855;"Комунальний дошкільний навчальний заклад (ясла-садок) комбінованого типу №2 ""Рябінушка"" Харцизької міської ради";Рябінушка
3149;"Заклад дошкільної освіти (ясла-садок)комбінованого типу ""Капітошка"" управління освіти і науки Броварської міської ради Київської області";Капітошка
14866;"Заклад дошкільної освіти ""Калинонька"" м. Жидачів Львівської області";Калинонька
14867;"Дошкільний навчальний заклад комбінованого типу ""Барвінок"" №2 м. Жидачів Львівської області";Барвінок
14865;"Дошкільний навчальний заклад ""Теремок"" м. Жидачів Львівськоїобласті";Теремок
3859;"Білчанський навчально-виховний комплекс""Загальноосвітня школа І-ІІІ ст.- дитячий садок""";Загальноосвітня школа І-ІІІ ст.- дитячий садок
12067;"Малорублівський навчально-виховний комплекс ""Перлинка""(школа І ступеня-дошкільний начальний заклад)Котелевської районної ради";Перлинка
7596;"Супрунівський навчально - виховний комплекс дошкільний підрозділ ""Ягідка""";Ягідка
6214;"Гудзівський навчально-виховний комплекс """"Дошкільний навчальний заклад-загальноосвітня школа І-ІІ ступенів"" Звенигородської районної ради Черкаської області";
11231;"Курозванівський дошкільний навчальний заклад ""Капітошка"" Курозванівської сільської ради";Капітошка
6169;"Дошкільний навчальний заклад загального розвитку ""Берізка"" с. Погреби, Погребської сільської ради";Берізка
8445;"Дубищенський дошкільний заклад ""Калинонька""";Калинонька
