address;location;Longitude;Latitude
Бровари вул. Гагаріна 23 А;Haharina St, 23А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7943012;50.5107
БРОВАРИ вул.Володира Великого 6;Volodymyra Velykoho St, 6, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.8304017;50.5085259
Бровари Марії Лагунової 17А;Marii Lahunovoi St, 17А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7940246;50.5186376
 Бровари вул. Київська 306 А;Kyivska St, 306А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7900573;50.5188158
 Бровари вул. Марії Лагунової 11 А;11A, Marii Lahunovoi St, 11А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7907667;50.5173583
 Бровари вул. Благодатна 80;Blahodatna St, 80, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7523181;50.497974
 Бровари вул. Сина Петлюри 17Б;17B, Symona Petliury St, 17Б, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7981914;50.5217495
БРОВАРИ ВУЛИЦЯ ЧОРНОВОЛА 4;Viacheslava Chornovola St, 4, Brovary, Kyivs'ka oblast, Ukraine, 07402;30.7813353;50.5169912
 Бровари вул. Героїв Небесної Сотні 13;Heroiv Nebesnoi Sotni St, 13, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7828777;50.5083719
 Бровари ВУЛИЦЯ ПЕТЛЮРИ СИМОНА 13Б;13B, Symona Petliury St, 13Б, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.8001411;50.52086660000001
 Бровари вулиця Герцена 3А;3A, Hertsena St, 3А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7827543;50.4989244
 Бровари вул. Героїв УПА 3А;3A, Heroiv UPA St, 3А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7960758;50.5109174
 Бровари вул. Оліійська 5;Kyivska St, 306А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7900476;50.51882
 Бровари бульвар Незалежності 8 А;8A, Nezalezhnosti Blvd, 8А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7981528;50.5141266
 Бровари вул. Онікієнка Олега 14А;Oleha Onikiienka St, 14А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.8187506;50.5087802
 Бровари вул. Білодубравна 8;Haharina St, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7912524;50.5108958
 Бровари вул. Незалежності 5 А;Nezalezhnosti Blvd, 5А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7912016;50.5140337
 Бровари вул. М.Лагунової 3А;3A, Marii Lahunovoi St, 3А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7880811;50.5150189
 Бровари ВУЛИЦЯ КИЇВСЬКА 306;Kyivska St, 306, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7887652;50.51928290000001
 Бровари пров. Корольова 10;Korol'ova Ln, 10, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7824908;50.510382
 Бровари ВУЛИЦЯ ГЕРОЇВ НЕБЕСНОЇ СОТНІ 15А;Heroiv Nebesnoi Sotni St, 15А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7820952;50.5076634
 Бровари вул. Короленка 57 А;57A, Korolenka St, 57А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.792195;50.5191727
 Бровари вул. Ярослава Мудрого 3;Yaroslava Mudroho St, 3, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7748808;50.49970889999999
 Бровари вул. Володира Великого 4А;Volodymyra Velykoho St, 4А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.830321;50.5075673
БРОВАРИ ВУЛИЦЯ КОРОЛЕНКА 74;Korolenka St, 74, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7924252;50.5234137
 Бровари ДНЗ №10;Korol'ova Ln, 10, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7824238;50.5103901
Бровари Спеціалізована школа №7;Haharina St, 23А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7944256;50.5106472
 Бровари ДНЗ №106;Symona Petliury St, 13Б, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.8004189;50.52065229999999
 Бровари Спеціалізована школа №5;Kyivska St, 306А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7900476;50.51882
 Бровари Спеціалізована школа №7;Haharina St, 23А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7944256;50.5106472
 Бровари Загальноосвітня школа №6;Hertsena St, 3, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7840888;50.4983334
 Бровари Загальноосвітня школа №3;Blahodatna St, 80, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7527367;50.49811889999999
 Бровари Загальноосвітня школа №10;Symona Petliury St, 17Б, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7983172;50.5219806
 Бровари Загальноосвітня школа №9;Heroiv Nebesnoi Sotni St, 13, Brovary, Kyivs'ka oblast, Ukraine, 07402;30.78315349999999;50.508497
 Бровари ДНЗ №4;Viacheslava Chornovola St, 4, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.78128719999999;50.5169907
 Бровари ДНЗ №2;Kyivska St, 265/2, Brovary, Kyivs'ka oblast, Ukraine, 07403;30.79058179999999;50.525333
 Бровари Загальноосвітня школа №1;Kyivska St, 153, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.769583;50.4993463
 Бровари Загальноосвітня школа №5;Kyivska St, 306А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7900476;50.51882
 Бровари ДНЗ №6;Hertsena St, 3, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7840888;50.4983334
Бровари ДНЗ Оленка;Marii Lahunovoi St, 6, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7917085;50.5154314
Бровари ДНЗ Зірочка;Yaroslava Mudroho St, 3, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7749381;50.4997395
 Бровари ДНЗ Золота рибка;Nezalezhnosti Blvd, 11Б, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7971815;50.5165443
 Бровари ДНЗ Рошка;Marii Lahunovoi St, 17А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7938113;50.5185143
 Бровари ДНЗ Перлинка;Nezalezhnosti Blvd, 8А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.79825019999999;50.5142277
 Бровари ДНЗ Катюша;Nezalezhnosti Blvd, 15б, Brovary, Kyivs'ka oblast, Ukraine, 07402;30.7995438;50.51917460000001
 Бровари ДНЗ Віночок;Kyivska St, 64, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7524956;50.4933695
 Бровари ДНЗ Дзвіночок;Symona Petliury St, 13Б, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.8004189;50.52065229999999
 Бровари ДНЗ Золотий ключик;Heroiv UPA St, 3А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7958582;50.5108331
 Бровари ДНЗ Казка;Viacheslava Chornovola St, 4, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.78128719999999;50.5169907
 Бровари ДНЗ Ластівка;Kyivska St, 306, Brovary, Kyivs'ka oblast, Ukraine, 07402;30.7886691;50.51920699999999
 Бровари ДНЗ Лісова казка;Oleha Onikiienka St, 14А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.81906709999999;50.5088054
 Бровари ДНЗ Джерельце;Symona Petliury St, 13Б, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.8004189;50.52065229999999
 Бровари ДНЗ Зірочка;Yaroslava Mudroho St, 3, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7749381;50.4997395
 Бровари ДНЗ Калинка;Olimpiiska St, 5, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.8323328;50.5080989
 Бровари ДНЗ Сонечко;Korolenka St, 74, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7925607;50.52303120000001
 Бровари ДНЗ Тереи;Brovary, Kyiv Oblast, Ukraine;30.7909;50.511083
 Бровари ДНЗ Малятко;Sholom-Aleikhema St, 87, Brovary, Kyivs'ka oblast, Ukraine, 07402;30.7833253;50.5102342
 Бровари ДНЗ Ялинка;Bilodibrovna St, 8, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.75392669999999;50.50480719999999
 Бровари ДНЗ Оленка;Marii Lahunovoi St, 6, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7917085;50.5154314
 Бровари ДНЗ Бджілка;Symona Petliury St, 13Б, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.8004189;50.52065229999999
 Бровари ДНЗ Барвінок;Korolenka St, 57А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7921337;50.5191862
 Бровари ДНЗ Червоні вітрила;Heroiv Nebesnoi Sotni St, 15А, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7822221;50.50773700000001
 Бровари ДНЗ Терек;переулок 1-ый Лесостепной д.16а, Київ, Ukraine, 01001;30.6221666;50.3672956
 Бровари ДНЗ Світлячок;Frenkelya St, 13А, Boryspil', Kyivs'ka oblast, Ukraine, 08300;30.9287282;50.3660793
 Бровари ДНЗ Волошки;Korolenka St, 74, Brovary, Kyivs'ka oblast, Ukraine, 07400;30.7925607;50.52303120000001
