ИдентификаторЛота;Идентификатор;Организатор;Тендер;СуммаЛота;ОписаниеТендера;Лот;Адрес поставки;АдресОрганизатора;Главный орган;IDOrganizator;Заклад-замовник;Назва закладу
UA-2018-12-12-004051-c-L1;UA-2018-12-12-004051-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;М’ясо (печінка яловича заморожена);661200;М’ясо (печінка яловича заморожена);М’ясо (печінка яловича заморожена);заклади освіти;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-08-30-000651-c-L1;UA-2018-08-30-000651-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;"Послуги з ремонту і технічного обслуговування медичного і високоточного обладнання (технічне обслуговування первинних засобів пожежогасіння в ДНЗ ""Казка"")";2880;;"Послуги з ремонту і технічного обслуговування медичного і високоточного обладнання (технічне обслуговування первинних засобів пожежогасіння в ДНЗ ""Казка"")";вул. Чорновала, 4;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-08-30-000561-c-L1;UA-2018-08-30-000561-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;"Архітектурні, інженерні та планувальні послуги (здійснення технічного нагляду по об'єкту: ""Капітальний ремонт асфальтового покриття території ДНЗ ""Золота рибка"")";1936.77;;"Архітектурні, інженерні та планувальні послуги (здійснення технічного нагляду по об'єкту: ""Капітальний ремонт асфальтового покриття території ДНЗ ""Золота рибка"")";бульв. Незалежності, 11 Б;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-08-30-000617-c-L1;UA-2018-08-30-000617-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;Послуги з ремонту і технічного обслуговування насосів, клапанів, кранів і металевих контейнерів (гідрохімічне очищення систем теплопостачання Броварської ЗОШ І-ІІІ ступенів № 6);74983.72;;Послуги з ремонту і технічного обслуговування насосів, клапанів, кранів і металевих контейнерів (гідрохімічне очищення систем теплопостачання Броварської ЗОШ І-ІІІ ступенів № 6);вул. Герцена, 3;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-08-30-000996-c-L1;UA-2018-08-30-000996-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;"Періодичні спеціалізовані видання (ДНЗ ""Ромашка"")";6900;;"Періодичні спеціалізовані видання (ДНЗ ""Ромашка"")";вул. М.Лагунової, 3-а;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-08-30-001062-c-L1;UA-2018-08-30-001062-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;Архітектурні, інженерні та планувальні послуги (здійснення технічного нагляду за Капітальним ремонтом вбиралень Броварської ЗОШ І-ІІІ ступенів № 10);8344.78;;Архітектурні, інженерні та планувальні послуги (здійснення технічного нагляду за Капітальним ремонтом вбиралень Броварської ЗОШ І-ІІІ ступенів № 10);вул. Симона Петлюри, 17-Б;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-08-30-001045-c-L1;UA-2018-08-30-001045-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;"Архітектурні, інженерні та планувальні послуги (здійснення технічного нагляду за Капітальним ремонтом комірних в ДНЗ ""Ластівка"")";1833.36;;"Архітектурні, інженерні та планувальні послуги (здійснення технічного нагляду за Капітальним ремонтом комірних в ДНЗ ""Ластівка"")";вул. Київська, 306;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-08-30-001096-c-L1;UA-2018-08-30-001096-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;"Архітектурні, інженерні та планувальні послуги (здійснення технічного нагляду за об'єктом ""Капітальний ремонт спортивної зали Броварської ЗОШ І-ІІІ ступенів № 10)";10843;;"Архітектурні, інженерні та планувальні послуги (здійснення технічного нагляду за об'єктом ""Капітальний ремонт спортивної зали Броварської ЗОШ І-ІІІ ступенів № 10)";вул. Симона Петлюри, 17-Б;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-08-30-001076-c-L1;UA-2018-08-30-001076-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;Архітектурні, інженерні та планувальні послуги (здійснення технічного нагляду за Капітальним ремонтом харчоблоку Броварської СШ І-ІІІ ступенів № 5);9178.57;;Архітектурні, інженерні та планувальні послуги (здійснення технічного нагляду за Капітальним ремонтом харчоблоку Броварської СШ І-ІІІ ступенів № 5);вул. Київська, 306-А;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
UA-2018-09-03-000083-c-L1;UA-2018-09-03-000083-c;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;Послуги з інженерного проектування (виконання проектних робіт з побудови комплексної системи відеоспостереження в ЗОШ І-ІІІ ступенів № 10);60000;Послуги з інженерного проектування (виконання проектних робіт з побудови комплексної системи відеоспостереження в ЗОШ І-ІІІ ступенів № 10);Послуги з інженерного проектування (виконання проектних робіт з побудови комплексної системи відеоспостереження в ЗОШ І-ІІІ ступенів № 10);вул. Петлюри Симона, 17-а;вул. Гагаріна, буд. 18;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ;2143838;True;УПРАВЛІННЯ ОСВІТИ І НАУКИ  БРОВАРСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ
