ИдентификаторЛота;Идентификатор;Организатор;Тендер;СуммаЛота;ОписаниеТендера;Лот;Адрес поставки;АдресОрганизатора;Главный орган;IDOrganizator;Заклад-замовник;Назва закладу
UA-2018-08-29-001363-a-L1;UA-2018-08-29-001363-a;Управління освіти Бахмутської міської ради;"Вогнезахист деревини покрівлі Бахмутського навчально-виховного комплексу ""Загальноосвітня школа І-ІІІ ступенів № 11 - багатопрофільний ліцей"" Бахмутської міської ради Донецької області,розташованої за адресую: вул.Миру,22, м.Бахмут,Донецької області";229008;;"Вогнезахист деревини покрівлі Бахмутського навчально-виховного комплексу ""Загальноосвітня школа І-ІІІ ступенів № 11 - багатопрофільний ліцей"" Бахмутської міської ради Донецької області,розташованої за адресую: вул.Миру,22, м.Бахмут,Донецької області";вул.Миру,22;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Навчально-виховний комплекс (об'єднання) № 11
UA-2018-08-23-002004-a-L1;UA-2018-08-23-002004-a;Управління освіти Бахмутської міської ради;""" Капітальний ремонт вентиляційної системи харчоблоку Бахмутського навчально-виховного комплексу ""Загальноосвітня школа І-ІІІ ступенів №11 - багатопрофільний ліцей "" Бахмутської міської ради Донецької області,розташованої за адресою:м.Бахмут,вул Миру,22""";26835;;""" Капітальний ремонт вентиляційної системи харчоблоку Бахмутського навчально-виховного комплексу ""Загальноосвітня школа І-ІІІ ступенів №11 - багатопрофільний ліцей "" Бахмутської міської ради Донецької області,розташованої за адресою:м.Бахмут,вул Миру,22""";вул.Миру,22;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Навчально-виховний комплекс (об'єднання) №11
UA-2018-09-18-000372-c-L1;UA-2018-09-18-000372-c;Управління освіти Бахмутської міської ради;"""Будівництво. Система пожежної синалізації,оповіщення про пожежу та передачі тривожних сповіщень в приміщеннях Бахмутської загальноосвітньої  школи І-ІІІ ступенів № 12 Бахмутської міської ради Донецької області розташованої за адресою вул.Леваневського,111,м.Бахмут,Донецької області”";479382;;"""Будівництво. Система пожежної синалізації,оповіщення про пожежу та передачі тривожних сповіщень в приміщеннях Бахмутської загальноосвітньої  школи І-ІІІ ступенів № 12 Бахмутської міської ради Донецької області розташованої за адресою вул.Леваневського,111,м.Бахмут,Донецької області”";вул.Леваневського,111;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Загальноосвітня школа № 12
UA-2018-09-18-000314-c-L1;UA-2018-09-18-000314-c;Управління освіти Бахмутської міської ради;"""Будівництво. Система пожежної сигналізації,оповіщення про пожежу та передачі тривожних сповіщень в приміщеннях Бахмутського навчально-виховного комплексу ""Загальноосвітня школа І-ІІІ ступенів № 11-багатопрофільний профільний ліцей"" Бахмутської міської ради  Донецької області розташованої за адресую:вул.Миру,22,м.Бахмут, Донецької області";869714.4;;"""Будівництво. Система пожежної сигналізації,оповіщення про пожежу та передачі тривожних сповіщень в приміщеннях Бахмутського навчально-виховного комплексу ""Загальноосвітня школа І-ІІІ ступенів № 11-багатопрофільний профільний ліцей"" Бахмутської міської ради  Донецької області розташованої за адресую:вул.Миру,22,м.Бахмут, Донецької області";вул.Миру,22;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Навчально-виховний комплекс (об'єднання) № 11
UA-2018-09-06-001757-a-L1;UA-2018-09-06-001757-a;Управління освіти Бахмутської міської ради;"""Реконструкція будівлі Бахмутської загальноосвітньої школи I-III ступенів № 18 ім.Дмитра Чернявського Бахмутської міської ради Донецької області, розташованої за адресою:м.Бахмут,вул.Ювілейна,34""";35640;;"""Реконструкція будівлі Бахмутської загальноосвітньої школи I-III ступенів № 18 ім.Дмитра Чернявського Бахмутської міської ради Донецької області, розташованої за адресою:м.Бахмут,вул.Ювілейна,34""";вул.Ювілейна,34;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Загальноосвітня школа № 18
UA-2018-09-10-000399-c-L1;UA-2018-09-10-000399-c;Управління освіти Бахмутської міської ради;"""Поточний ремонт мережі електроосвітлення загальноосвітньої І-ІІІ ступенів № 12 Бахмутської міської ради Донецької області,розташованої за адресую:м.Бахмут,Леваневського,111""";58859;;"""Поточний ремонт мережі електроосвітлення загальноосвітньої І-ІІІ ступенів № 12 Бахмутської міської ради Донецької області,розташованої за адресую:м.Бахмут,Леваневського,111""";вул.Леваневського,111;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Загальноосвітня школа № 12
UA-2018-08-29-001289-a-L1;UA-2018-08-29-001289-a;Управління освіти Бахмутської міської ради;Будівництво системи блискавкозахисту Бахмутської загальноосвітньої школи І-ІІІ ступенів № 12  Бахмутської міської ради Донецької області,розташованої за адресую: м.Бахмут, вул.Леваневського,111;191030.4;;Будівництво системи блискавкозахисту Бахмутської загальноосвітньої школи І-ІІІ ступенів № 12  Бахмутської міської ради Донецької області,розташованої за адресую: м.Бахмут, вул.Леваневського,111;вул.Леваневського,111;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Загальноосвітня школа № 12
UA-2018-09-12-001746-c-L1;UA-2018-09-12-001746-c;Управління освіти Бахмутської міської ради;Будівництво системи блискавкозахисту Бахмутської загальноосвітньої школи І-ІІІ ступенів № 12  Бахмутської міської ради Донецької області,розташованої за адресую: м.Бахмут, вул.Леваневського,111;191030.4;;Будівництво системи блискавкозахисту Бахмутської загальноосвітньої школи І-ІІІ ступенів № 12  Бахмутської міської ради Донецької області,розташованої за адресую: м.Бахмут, вул.Леваневського,111;вул.Леваневського,111;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Загальноосвітня школа № 12
UA-2018-09-12-001856-c-L1;UA-2018-09-12-001856-c;Управління освіти Бахмутської міської ради;"Будівництво системи блискавкозахисту Бахмутського навчально-виховного комплексу ""Загальноосвітня школа І-ІІІ ступенів № 11 - багатопрофільний ліцей"" Бахмутської міської ради Донецької області,розташованої за адресую: м.Бахмут, вул.Миру,22";282093.6;;"Будівництво системи блискавкозахисту Бахмутського навчально-виховного комплексу ""Загальноосвітня школа І-ІІІ ступенів № 11 - багатопрофільний ліцей"" Бахмутської міської ради Донецької області,розташованої за адресую: м.Бахмут, вул.Миру,22";вул.Миру,22;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Навчально-виховний комплекс (об'єднання) № 11
UA-2018-08-29-001212-a-L1;UA-2018-08-29-001212-a;Управління освіти Бахмутської міської ради;"Будівництво системи блискавкозахисту Бахмутського навчально-виховного комплексу ""Загальноосвітня школа І-ІІІ ступенів № 11 - багатопрофільний ліцей"" Бахмутської міської ради Донецької області,розташованої за адресую: м.Бахмут, вул.Миру,22";282093.6;;"Будівництво системи блискавкозахисту Бахмутського навчально-виховного комплексу ""Загальноосвітня школа І-ІІІ ступенів № 11 - багатопрофільний ліцей"" Бахмутської міської ради Донецької області,розташованої за адресую: м.Бахмут, вул.Миру,22";вул.Миру,22;вул. Б. Горбатова, 42;Бахмутська міська рада;2142796;False;Навчально-виховний комплекс (об'єднання) № 11
